ksp_type,pc_type,response,min1,min5,min15,proc
gmres,sor,123.96,40.8,39.4,38.56,1/3439
fcg,sor,9.9483,36.65,38.57,38.31,1/3439
tcqmr,sor,88.365,37.81,38.58,38.34,3/3439
cgs,sor,9.3779,37.08,38.36,38.28,2/3439
bcgs,sor,8.5033,36.44,38.14,38.2,2/3439
tfqmr,sor,9.6314,34.75,37.64,38.04,1/3439
cr,sor,6.0262,34.24,37.43,37.96,3/3440
gcr,sor,104.46,38.2,38.11,38.16,1/3440
cg,mg,7.0692,34.27,37.27,37.89,2/3440
gmres,mg,67.012,39.39,38.1,38.12,6/3441
fcg,mg,9.0749,35.43,37.27,37.85,1/3444
tcqmr,mg,24.535,36.75,37.35,37.86,2/3444
cgs,mg,9.6218,36.78,37.31,37.83,1/3444
bcgs,mg,10.216,34.56,36.69,37.61,3/3444
tfqmr,mg,9.967,34.64,36.58,37.56,3/3443
cr,mg,6.5268,33.93,36.31,37.46,1/3443
gcr,mg,78.537,39.03,37.28,37.69,1/3447
cg,bjacobi,4.4373,35.1,36.5,37.43,1/3446
gmres,bjacobi,74.36,38.91,37.28,37.62,2/3442
fcg,bjacobi,8.014,38.02,37.14,37.57,2/3445
tcqmr,bjacobi,21.952,37.99,37.18,37.57,1/3439
cgs,bjacobi,6.9015,37.79,37.15,37.55,2/3441
bcgs,bjacobi,6.4013,35.9,36.77,37.42,1/3447
tfqmr,bjacobi,7.3143,33.85,36.28,37.25,1/3447
cr,bjacobi,4.4609,33.55,36.12,37.19,1/3442
gcr,bjacobi,103.51,39.36,37.41,37.53,2/3443
cg,jacobi,7.2381,38.14,37.22,37.47,1/3444
gmres,jacobi,86.313,38.3,37.65,37.6,3/3445
fcg,jacobi,16.65,36.41,37.26,37.48,1/3442
tcqmr,jacobi,132.61,38.79,38.12,37.77,2/3440
cgs,jacobi,13.659,36.42,37.63,37.62,2/3440
bcgs,jacobi,12.298,34.86,37.2,37.48,1/3440
tfqmr,jacobi,14.974,35.58,37.18,37.46,3/3441
cr,jacobi,8.0617,35.79,37.13,37.44,1/3442
gcr,jacobi,117.27,40.62,38.48,37.89,2/3440
cg,sor,5.6767,37.91,37.99,37.74,1/3440
gmres,sor,125.31,40.64,38.88,38.09,2/3445
fcg,sor,9.6551,37.94,38.39,37.95,1/3444
tcqmr,sor,89.898,40.28,39.0,38.21,8/3450
cgs,sor,9.4686,39.34,38.83,38.16,1/3448
bcgs,sor,8.4792,34.44,37.7,37.8,1/3449
tfqmr,sor,9.243,34.68,37.57,37.76,4/3447
cr,sor,6.4954,33.06,37.07,37.59,3/3445
gcr,sor,104.61,40.24,38.33,37.98,2/3443
cg,mg,6.4352,39.2,38.17,37.93,1/3444
gmres,mg,66.206,38.56,38.28,37.99,3/3442
